Login,Expected_task,Actual_task
amarinln,RSP_Stow,IB_Omniscan
barbepau,IB_Decant,RSP_Stow
davdoler,ICQA_Simple_Bin_Count,RSP_Q_Stow
egarmar,RSP_Q_Stow,IB_Decant
fcristcu,IB_Dock_Admin_IM,IB_Decant
francyuf,IB_TR,IB_Decant
garcgine,RSP_Stow,RSP_Q_Stow
gonzglui,RSP_Cart_Builder,RSP_Stow
gpedrojo,RSP_Cart_Builder,RSP_Q_Stow
herraizc,IB_CorralChampion,IB_Decant
hlopezje,RSP_Cart_Builder,RSP_Q_Stow
jmolinaq,RSP_Cart_Builder,IB_Decant
lliherna,IB_CM,RSP_Stow
murciabe,IB_Jambuster,IB_Decant
ojuanmma,IB_CM,RSP_Stow
ourkiabm,RSP_Q_Stow,RSP_Stow
paladiyq,IB_IM,IB_Decant
prioange,IB_Decant,RSP_Stow
rebjuanh,ICQA_Simple_Bin_Count,OB_Tote_runner
rojenif,IB_Desapilar_Descargar,RSP_Stow
tatosori,IB_TR,RSP_Stow
acamposi,IB_Remove,IB_POUT
antabelw,IB_Pallet_Decant,IB_Receive
antjpere,RSP_Stow_Pallet,IB_Corral
bouissig,RSP_Stow,RSP_Cart_Builder
bulpedro,RSP_Stow_Pallet,IB_Corral
egearojl,IB_Dock_Admin_IM,IB_Desapilar_Descargar
fdeniafu,IB_Receive,IB_Prep
jncuriel,RSP_Stow_Pallet,RSP_Stow
lopezsmv,RSP_Cart_Builder,RSP_Stow
padsjohn,RSP_Stow,IB_POUT
qlopalba,IB_CM,IB_Prep
rtsoraya,IB_Pending_Prep,IB_Prep
silvadke,IB_Desapilar_Descargar,IB_Decant
tayalama,ICQA_Simple_Bin_Count,RSP_Stow
vlojanol,IB_Decant,IB_CM
adriamaq,IB_Corral,IB_Decant
afrasque,IB_Dock_Admin_IM,IB_Desapilar_Descargar
alejanfn,IB_CM,IB_Decant
alvaroog,RSP_Pick,DOCK_BOX
brocalmr,OB_SM,IB_Decant
ehamam,IB_DOCK_OM,IB_DOCK_GHO_v2
fuentcay,IB_Corral,IB_Decant
gizzambr,ICQA_Simple_Bin_Count,RSP_Q_Stow
hamabdeg,OB_CHUTING,OB_SM
javbuenp,ICQA_Simple_Bin_Count,ICQA
lmrosama,OB_CHUTING,OB_P2R
maricafe,IB_Decant,IB_Prep
reyerubz,IB_Corral,IB_Decant
vadohele,RSP_Cart_Builder,RSP_Stow
antabelw,IB_Pallet_Decant,IB_Decant
bouissig,RSP_AFM,RSP_Q_Stow
haralejh,IB_Corral,IB_CM
ismenend,IB_Dock_Admin_IM,IB_Desapilar_Descargar
jasfranz,IB_Decant,IB_Desapilar_Descargar
linavend,IB_Omniscan,RSP_Stow
lopezsmv,IB_Jambuster,OB_Tote_runner
marlooje,RSP_Pick,IB_Cubis
mobouchn,RSP_Q_Stow,RSP_Stow
nolasclu,RSP_Cart_Builder,RSP_Stow
oujobego,RSP_Q_Stow,RSP_Stow
qlopalba,IB_TR,IB_Receive
rubecorr,IB_CM,IB_Corral
silvadke,IB_Desapilar_Descargar,OB_Tote_runner
tayalama,ICQA_Simple_Bin_Count,RSP_Stow
adriamaq,IB_Desapilar_Descargar,IB_Decant
afrasque,IB_Dock_Admin_IM,IB_Corral
altedhjo,IB_POUT,IB_Prep
antotort,RSP_Pick,IB_Cubis
cararism,IB_Receive,IB_Prep
dabdelax,IB_Decant,RSP_Stow
garcigfr,IB_Receive,IB_Decant
ikgeorgi,RSP_Cart_Builder,RSP_Stow
jimariai,OB_Tote_runner,OB_WS
karlamba,RSP_Stow_Pallet,IB_Corral
laumvale,RSP_Stow,RSP_Q_Stow
martmh,RSP_Q_Stow,RSP_Stow
rosmilvi,IB_Jambuster,OB_Tote_runner
srosanto,OB_Tote_runner,RSP_Stow
tamamorc,RSP_Stow_Pallet,IB_Decant
droblesd,IB_DOCK_OM,IB_DOCK_GHO_v2
eduarhsa,IB_Corral,IB_Desapilar_Descargar
eduinsmo,IB_TT_RCV_SW,IB_Decant
egarmar,IB_Jambuster,IB_Receive
fcristcu,IB_Dock_Admin_IM,IB_Corral
gpedrojo,RSP_Stow,OTHERS_5S
lliherna,IB_CM,RSP_Stow
paladiyq,RSP_Stow,IB_CM
wangalbu,RSP_Stow,IB_Decant
zubrayne,IB_Decant,OB_Tote_runner
bveraval,RSP_Pick,RSP_Stow
fernaaua,IB_CM,IB_Decant
gasamuem,RSP_Stow,RSP_Q_Stow
ingrreye,RSP_Q_Stow,RSP_Stow
martaomo,OB_Tote_runner,RSP_Stow
martmh,RSP_Q_Stow,RSP_Stow
nelpprad,OB_Tote_runner,RSP_Stow
ortizres,RSP_Stow_Pallet,RSP_Q_Stow
peolivag,IB_Decant,OB_Tote_runner
pradochm,RSP_Pick,IB_Cubis
qabdedri,ICQA_Simple_Bin_Count,ICQA
srosanto,IB_Jambuster,OB_Tote_runner
uyollope,IB_TR,RSP_Stow
zperezar,RSP_Stow,RSP_Q_Stow
antabelw,IB_Pallet_Decant,IB_Decant
aziztoba,IB_Omniscan,RSP_Stow
bmartseb,RSP_AFM,RSP_Q_Stow
domiorgi,RSP_Stow,RSP_Pick
elfamohu,RSP_Stow,IB_Cubis
reyescen,IB_Decant,RSP_Stow
antabelw,IB_Pallet_Decant,IB_Decant
anunesba,RSP_Stow,RSP_Q_Stow
bmendoja,IB_TR,RSP_Stow
boizacam,RSP_Stow,RSP_Q_Stow
bouissig,IB_Jambuster,OB_Tote_runner
bulpedro,RSP_Q_Stow,RSP_Stow
dayrmend,RSP_Cart_Builder,RSP_Stow
delfixju,IB_Corral,IB_Decant
guilmurm,IB_Receive,IB_Decant
handrmas,IB_TT_RCV_SW,RSP_Q_Stow
jncuriel,OB_P2R,RSP_Stow
perezhep,RSP_Pick,IB_Decant
qlopalba,OB_Tote_runner,IB_Receive
raipared,RSP_Pick,IB_Cubis
rubecorr,IB_CM,IB_Decant
silvadke,IB_Desapilar_Descargar,IB_Decant
adriamaq,IB_Corral,IB_Decant
byjimene,OB_P2R,OB_CHUTING
cmchamor,RSP_Q_Stow,RSP_Stow
fuentcay,OB_SM,OB_WS
gonzglui,OB_SM,OB_CHUTING
gonzyver,OB_SM,OB_CHUTING
jenripoe,OB_CHUTING,RSP_Pick
jsreyesc,OB_SM,OB_CHUTING
laustric,OB_CHUTING,RSP_Pick
leonmofr,OB_SM,RSP_Pick
lmrosama,OB_P2R,OB_CHUTING
macondej,RSP_Pick,IB_Cubis
maogarc,OB_P2R,IB_Receive
maruizpe,OB_SM,OB_WS
mirasane,OB_P2R,RSP_Q_Stow
moyavame,OB_SM,OB_FORMADO_DIRECTA
nortesbm,RSP_Stow_Pallet,RSP_Stow
oevamari,OB_SM,OB_FORMADO_DIRECTA
rebjuanh,IB_Receive,RSP_Stow
tamamorc,IB_Jambuster,IB_Decant
abdellme,RSP_Pick,OB_P2R
abdhzian,IB_Decant,OB_P2R
adriamaq,OB_SM,IB_Decant
albamarr,OB_SM,OTHERS_Engage
alfomsan,OB_SM,OTHERS_Engage
alvaroog,RSP_Pick,OTHERS_Engage
barbepau,RSP_Pick,RSP_Q_Stow
brocalmr,OB_SM,IB_Decant
calvomun,OB_SM,RSP_Pick
cararism,IB_Receive,IB_Prep
felautar,RSP_Pick,OTHERS_Engage
gonzglui,OB_SM,OTHERS_Engage
gonzyver,OB_SM,OB_CHUTING
hamabdeg,OB_CHUTING,OB_SM
jenripoe,RSP_Pick,RSP_Stow
jokesteb,IB_Pallet_Decant,IB_Decant
jsreyesc,OB_CHUTING,OB_SM
ksvictor,OB_CHUTING,OTHERS_Engage
laustric,RSP_Pick,OTHERS_Engage
lejaoro,OB_CHUTING,OB_SM2
lmrosama,OB_CHUTING,OB_P2R
luciamav,OB_CHUTING,OTHERS_Engage
macondej,RSP_Pick,OTHERS_Engage
maigrspe,OB_CHUTING,OTHERS_Engage
maogarc,IB_Decant,IB_Receive
maricafe,IB_Decant,IB_Receive
martmh,RSP_Q_Stow,OB_CHUTING
mguennan,RSP_Pick,OTHERS_Engage
moyavame,OB_SM,OB_FORMADO_DIRECTA
nberramk,RSP_Stow,OB_P2R
oevamari,OB_SM,OB_FORMADO_DIRECTA
otadrian,OB_SM,OTHERS_Engage
pjoseaso,OB_SM,OTHERS_Engage
prioange,RSP_Pick,RSP_Stow
qaleange,RSP_Pick,OTHERS_Engage
rojenif,IB_Desapilar_Descargar,RSP_Stow
sergigah,IB_TR,IB_Decant
tamamorc,IB_Jambuster,IB_Decant
tloanton,OB_SM,OTHERS_Engage
acamposi,OB_SM,OB_CHUTING
antabelw,IB_Pallet_Decant,IB_Decant
anunesba,OB_P2R,DOCK_FLAT
bulpedro,OB_P2R,OB_CHUTING
delfixju,IB_Corral,IB_CM
jeanhesp,OB_SM,DOCK_FLAT
jncuriel,OB_P2R,DOCK_PROCUREMENT
joaqvida,RSP_Pick,DOCK_EBT
mapantol,SelectedIndirects,IB_Decant
mobouchn,RSP_Pick,DOCK_EBT
moscjhos,SelectedIndirects,RSP_Stow
mrenosl,ICQA_Simple_Bin_Count,RSP_Stow
palaisra,IB_Desapilar_Descargar,OB_Tote_runner
perezhep,RSP_Pick,IB_Decant
pmudanie,IB_Corral,IB_Desapilar_Descargar
raipared,RSP_Pick,DOCK_EBT
raulmorx,RSP_Pick,DOCK_EBT
rsanrube,RSP_Q_Stow,RSP_Stow
rubecorr,IB_CM,IB_Corral
segpablo,ICQA_Simple_Bin_Count,RSP_Stow
sseraqui,OB_SM,OB_FORMADO_DIRECTA
vlojanol,ICQA_Simple_Bin_Count,RSP_Stow
aidelrio,RSP_Pick,OTHERS_Engage
anaruin,RSP_Stow,RSP_Q_Stow
anouguiz,OB_SM,OB_PCNS1
cocaquod,IB_Desapilar_Descargar,OTHERS_Engage
droblesd,IB_DOCK_OM,IB_DOCK_GHO_v2
egarmar,IB_Jambuster,IB_Receive
elkimart,RSP_AFM,OTHERS_Engage
fcristcu,IB_CorralChampion,OTHERS_Engage
jmolinaq,RSP_Stow,IB_Decant
kantongo,OB_SM,OTHERS_Engage
karlamba,OB_SM,OB_PCNS1
khaycmoh,OB_P2R,OTHERS_Engage
lazarbal,IB_Pallet_Decant,OB_Tote_runner
lopezagr,OB_P2R,RSP_Pick
lucibmar,RSP_Q_Stow,RSP_Stow
moanadol,OB_CHUTING,RSP_Stow
ualejmen,OB_P2R,OTHERS_Engage
wangalbu,RSP_Stow,IB_Decant
xgarciaz,OB_CHUTING,OB_SM
abzianid,IB_Receive,IB_Decant
antogarw,IB_Receive,RSP_PickPallet
banosrma,RSP_Cart_Builder,RSP_Stow
barbepau,RSP_Pick,RSP_Q_Stow
biengomb,IB_Decant,IB_Receive
brocalmr,OB_SM,IB_Decant
byjimene,OB_CHUTING,OB_P2R
dfralope,RSP_Cart_Builder,RSP_Stow
droblesd,OB_CHUTING,IB_DOCK_OM
eduarhsa,IB_Decant,IB_Corral
egarmar,IB_Jambuster,IB_Decant
fuentcay,OB_SM,OB_FORMADO_DIRECTA
gonzglui,OB_SM,OB_CHUTING
gonzyver,OB_SM,OB_CHUTING
joanmaal,IB_Decant,RSP_Stow
jokesteb,IB_Pallet_Decant,IB_Decant
joscujip,OB_P2R,RSP_Pick
luciamav,IB_Decant,IB_Prep
martmh,RSP_Q_Stow,OB_CHUTING
maruizpe,IB_Decant,IB_Receive
mazmarin,OB_SM,OB_FORMADO_DIRECTA
oevamari,OB_SM,OB_FORMADO_DIRECTA
otadrian,IB_Decant,OB_SM
prioange,RSP_Pick,RSP_Q_Stow
qaleange,RSP_Pick,IB_Receive
rojenif,IB_Desapilar_Descargar,RSP_Stow
sanandrb,IB_Decant,OB_CHUTING
souadnbe,RSP_Stow,RSP_Q_Stow
xcoranto,OB_CHUTING,OB_GW
acamposi,RSP_Stow_Pallet,IB_Decant
antabelw,IB_Pallet_Decant,IB_Prep
joaqualf,IB_Jambuster,OB_Tote_runner
mapantol,IB_Decant,IB_Pallet_Decant
marlooje,OB_Tote_runner,RSP_Q_Stow
nolasclu,IB_Decant,OB_Tote_runner
oujobego,RSP_Q_Stow,ICQA_Simple_Bin_Count
perezojm,RSP_Q_Stow,RSP_Stow
qlopalba,IB_CM,IB_Receive
qraquepo,OB_Tote_runner,IB_Decant
segpablo,RSP_Stow,ICQA_Simple_Bin_Count
********,IB_Decant,RSP_Stow
zmarmale,RSP_Cart_Builder,RSP_Q_Stow
begonogu,RSP_Pick,IB_Dock_Admin_IM
carcampi,IB_Corral,IB_Desapilar_Descargar
cocaquod,OB_SM,RSP_Pick
fernaaua,IB_CM,OB_SM
icaballj,IB_CM,IB_Corral
kantongo,OB_SM,DOCK_PROCUREMENT
kenddcau,RSP_AFM_PG,RSP_Pick
khaycmoh,IB_CorralChampion,OB_WS
lazarbal,IB_DOCK_OM,IB_DOCK_GHO_v2
lopezagr ,OB_P2R,RSP_Pick
lorpatrl,IB_Jambuster,IB_Decant
marrique,OB_SM,OB_PCNS1
moanadol,OB_CHUTING,RSP_Stow
nelpprad,RSP_Stow,RSP_Pick
omariaeu,RSP_Q_Stow,RSP_Stow
ortizres,OB_SM,RSP_AFM
pablnico,IB_Corral,OB_CHUTING
rosmilvi,OB_SM,DOCK_FLAT
ualejmen,OB_P2R,DOCK_FLAT
xgarciaz,OB_CHUTING,OB_SM
alejanfn,RSP_Q_Stow,RSP_Stow
alvaroog,RSP_Pick,DOCK_FLAT
antotort,RSP_Q_Stow,RSP_Stow
ariaspal,ICQA_Simple_Bin_Count,ICQA
canofema,RSP_Q_Stow,RSP_Stow
canovlak,RSP_Q_Stow,RSP_Stow
caparosc,IB_Decant,OB_Tote_runner
cocaquod,OB_SM,RSP_Pick
fcarrima,RSP_Stow,RSP_AFM
fernaaua,RSP_Q_Stow,RSP_Stow
fuentcay,OB_SM,IB_CM
jimariai,RSP_Stow,RSP_Pick
kantongo,IB_Decant,RSP_Stow
karlamba,IB_Decant,IB_CM
kharmach,RSP_AFM,IB_Cubis
lopezagr,OB_P2R,RSP_Pick
marrique,IB_Receive,IB_Prep
mazmarin,IB_Corral,IB_Decant
moanadol,OB_CHUTING,RSP_Stow
qcalison,RSP_Q_Stow,RSP_Stow
rmerceji,OB_CHUTING,OB_GW
rosmilvi,OB_SM,DOCK_PROCUREMENT
sergigah,RSP_Stow,RSP_Q_Stow
tamamorc,IB_Jambuster,IB_Decant
xcoranto,OB_CHUTING,RSP_Cart_Builder
xgarciaz,OB_CHUTING,OB_SM
zamoraib,OB_P2R,OB_CHUTING
amoyapad,IB_Pallet_Decant,RSP_Stow
ayazizih,RSP_Cart_Builder,RSP_Stow
banoanto,IB_CM,IB_Decant
diespinf,IB_Corral,IB_Decant
eduapedv,IB_Corral,IB_Prep
eduinsmo,IB_TT_RCV_SW,IB_Decant
egarmar,IB_Jambuster,IB_Decant
hperezpr,RSP_Pick,IB_Cubis
iloremed,RSP_Q_Stow,RSP_Stow
javdeloc,IB_Receive,IB_Prep
jenripoe,IB_Decant,RSP_Stow
josejavw,IB_Decant,OB_Tote_runner
josgodix,RSP_Cart_Builder,RSP_Stow
juafherm,RSP_Cart_Builder,RSP_Stow
martmh,RSP_Q_Stow,RSP_Stow
prioange,IB_Decant,RSP_Stow
rmartsau,RSP_Q_Stow,RSP_Stow
rojenif,IB_Desapilar_Descargar,RSP_Stow
tebasisa,IB_Omniscan,RSP_Q_Stow
wangalbu,RSP_Stow,IB_Decant
